sample_output_rna	sample_output_ribo
ENST00000288350	5.76156	0
ENST00000358268	5.76156	0
ENST00000485895	5.93108	0
ENST00000418018	0	0
ENST00000448288	0	0
ENST00000434281	0	0
ENST00000438404	0	0
ENST00000411566	0	0
ENST00000415863	20.7842	0
ENST00000380671	5.76156	0
ENST00000380637	0	0
ENST00000380634	0	0
ENST00000458295	0	0
ENST00000440288	141.763	6.76145
ENST00000380631	0	0
ENST00000333634	5.12706	0.0607082
ENST00000452550	68.4484	1.78802
ENST00000423596	58.662	0.389829
ENST00000380620	1	0
ENST00000380618	1	0
ENST00000343118	1	0
ENST00000398714	1	0
ENST00000380612	0	0
ENST00000329618	3	0
ENST00000380588	1	0
ENST00000400454	102.431	20.3326
ENST00000404019	185.569	42.6674
ENST00000330333	63.3022	25.7026
ENST00000328735	0.0114125	0.00634595
ENST00000347667	35.6864	16.2911
ENST00000357985	0	0
ENST00000398652	0	0
ENST00000398647	24	0
ENST00000398646	0	0
ENST00000330714	43.1836	22
ENST00000436410	0	0
ENST00000435611	6.02382	0
ENST00000418103	0	0
ENST00000543692	0	0
ENST00000398600	356.311	92.0467
ENST00000413778	0	0
ENST00000398598	356.311	92.0467
ENST00000424365	91.9279	34.3614
ENST00000417963	1.1184e-07	4.04578e-08
ENST00000441677	4.33446	2.35839
ENST00000288383	0.596678	0.139915
ENST00000455164	356.311	92.0467
ENST00000332149	0	0
ENST00000458356	0	0
ENST00000454499	0	0
ENST00000424093	0	0
ENST00000455813	0	0
ENST00000398585	0	0
ENST00000332512	0	0
ENST00000352483	0	0
ENST00000544709	4	0
ENST00000542057	4	0
ENST00000447016	89.9113	33.6746
ENST00000422911	0	0
ENST00000441787	0	0
ENST00000449395	0	0
ENST00000398548	90.1775	32.6507
ENST00000433067	0	0
ENST00000269844	0	0
ENST00000538201	0	0
ENST00000447207	89.9113	33.6746
ENST00000449165	50.4649	27.5263
ENST00000329623	26.7463	70.9222
ENST00000380486	48.7888	119.551
ENST00000398505	139.415	53.1612
ENST00000310826	34.8324	22.9463
ENST00000398499	34.8324	22.9463
ENST00000398511	34.8324	22.9463
ENST00000425521	12.0876	0
ENST00000400427	0	0
ENST00000400424	8.47919	0
ENST00000408989	0	0
ENST00000408910	0	0
ENST00000491559	0	0
ENST00000468982	0	0
ENST00000497243	0	0
ENST00000400421	0	0
ENST00000466434	0	0
ENST00000485357	0	0
ENST00000329015	6.52081	16
ENST00000398457	0.0134771	0.00876083
ENST00000347800	616.429	404.066
ENST00000450121	0	0
ENST00000398449	0.975102	0.649817
ENST00000361802	286.582	177.276
ENST00000343687	0	0
ENST00000398437	0	0
ENST00000340588	0	0
ENST00000518498	0	0
ENST00000398431	0	0
ENST00000291525	0	0
ENST00000291526	0	0
ENST00000291527	0	0
ENST00000398405	0	0
ENST00000433957	22.0306	16.9054
ENST00000291532	0.796886	0.609923
ENST00000398397	10.385	0
ENST00000380399	27.7876	17.4847
ENST00000291535	2	0
ENST00000319294	0	0
ENST00000398367	0	0
ENST00000450356	0	0
ENST00000291536	44.798	0
ENST00000398352	84.202	0
ENST00000398341	42	12
ENST00000352133	42	12
ENST00000335512	239.824	10.0015
ENST00000291539	35.1459	1.2989
ENST00000380328	0	0
ENST00000398232	0	0
ENST00000398234	0	0
ENST00000398236	0	0
ENST00000328862	0	0
ENST00000335440	0	0
ENST00000398225	0	0
ENST00000398229	0	0
ENST00000398227	767.03	40.6996
ENST00000349112	0	0
ENST00000398224	0	0
ENST00000539837	0	0
ENST00000330317	17	60.5
ENST00000398208	17	60.5
ENST00000354250	70.3929	61.6509
ENST00000340344	265.607	225.349
ENST00000291547	107.576	35.6787
ENST00000432907	38.4237	11.3213
ENST00000398158	0.000811661	0.000126358
ENST00000398165	0.000811661	0.000126358
ENST00000359624	0.000811661	0.000126358
ENST00000352178	0.000811661	0.000126358
ENST00000451248	138.75	11.4743
ENST00000458223	0	0
ENST00000430013	0	0
ENST00000441030	420.574	94.9142
ENST00000398168	0	0
ENST00000544202	1587.67	250.611
ENST00000459639	239.706	79.1888
ENST00000464750	127.088	37.2324
ENST00000380276	41.2725	9.63527
ENST00000291552	290.226	67.7548
ENST00000398137	239.706	79.1888
ENST00000433840	0	0
ENST00000291554	0	0
ENST00000398133	0	0
ENST00000398132	0	0
ENST00000270162	53	215
ENST00000291560	7.1517	0
ENST00000443485	0	0
ENST00000542962	6.8483	0
ENST00000340648	88	179
ENST00000398081	0	0
ENST00000468090	67.6978	65.8586
ENST00000291565	335.093	300.768
ENST00000327574	5.14423	3.96645
ENST00000467908	974.065	382.407
ENST00000291568	261	311
ENST00000497547	230	178
ENST00000291572	263.32	42.6924
ENST00000448287	151.712	28.2254
ENST00000398061	263.32	42.6924
ENST00000327505	263.32	42.6924
ENST00000445582	109.667	19.012
ENST00000398063	263.32	42.6924
ENST00000398058	263.32	42.6925
ENST00000457068	352.351	52.804
ENST00000422850	352.351	52.804
ENST00000546158	263.32	42.6924
ENST00000380221	0	0
ENST00000291574	385.326	506.99
ENST00000422875	79.6744	52.0096
ENST00000291576	324.6	770.014
ENST00000456705	40.4002	31.9861
ENST00000291577	766.298	379.846
ENST00000427803	16.1464	9.5971
ENST00000348499	139.042	74.5393
ENST00000389690	19.5957	6.42311
ENST00000449622	6.74551	2.12507
ENST00000419699	445.173	90.4696
ENST00000598764	1	0
ENST00000344330	0	0
ENST00000407780	89.9923	74.5379
ENST00000400379	11.9061	5.72012
ENST00000400377	111.102	93.742
ENST00000436357	0	0
ENST00000270172	0	0
ENST00000431166	0	0
ENST00000418993	0	0
ENST00000291582	7.24184	18.6824
ENST00000355347	7.46899	10.3176
ENST00000329347	1.28916	0
ENST00000349048	2496	1242
ENST00000403390	0	0
ENST00000339818	235.371	128.72
ENST00000397956	18.0027	6.05611
ENST00000325223	309.626	170.224
ENST00000300482	485.584	169.267
ENST00000431901	37.8454	0.841008
ENST00000397928	485.584	169.267
ENST00000397932	0	0
ENST00000300481	1.98748	0.624167
ENST00000291592	1	0
ENST00000596691	1	0
ENST00000323084	0	0
ENST00000397916	4	0
ENST00000400375	0	0
ENST00000391621	0	0
ENST00000391620	0	0
ENST00000400374	0	0
ENST00000400372	0	0
ENST00000400368	0	0
ENST00000380102	0	0
ENST00000334662	0	0
ENST00000397911	0	0
ENST00000380095	0	0
ENST00000334670	0	0
ENST00000391618	0	0
ENST00000397907	0	0
ENST00000360770	0	0
ENST00000391617	0	0
ENST00000400365	0	0
ENST00000345496	0	0
ENST00000330942	101.657	144.5
ENST00000478200	62.343	182.5
ENST00000397898	21.322	6.3834
ENST00000332859	690.386	412.975
ENST00000397893	52.2918	39.6414
ENST00000411651	0	0
ENST00000397887	78.4174	58.1718
ENST00000330938	491.807	354.107
ENST00000397886	40.2564	29.143
ENST00000445724	132.519	25.5777
ENST00000397852	565.371	116.725
ENST00000397857	565.371	116.725
ENST00000397854	0	0
ENST00000355153	565.371	116.725
ENST00000397850	565.371	116.726
ENST00000523323	0	0
ENST00000320216	0	0
ENST00000523663	0	0
ENST00000522931	0	0
ENST00000517563	293.484	75.2497
ENST00000520389	0	0
ENST00000517819	13.6617	4.12313
ENST00000397846	0	0
ENST00000302347	565.371	116.726
ENST00000397841	12.5869	0
ENST00000330551	5.94932	0
ENST00000380070	2.4638	0
ENST00000291634	25.0905	16.2623
ENST00000397826	202.909	144.738
ENST00000458015	0	0
ENST00000389861	94.7413	33.7495
ENST00000492414	88.3562	32.8625
ENST00000496664	0	0
ENST00000389863	980.546	282.526
ENST00000348831	88.3562	32.8625
ENST00000449478	6.50201e-05	2.64301e-05
ENST00000360697	0	0
ENST00000539173	0	0
ENST00000600921	0	0
ENST00000596207	0	0
ENST00000331343	0	0
ENST00000334538	79.7039	32.855
ENST00000349485	59.2961	21.145
ENST00000451615	0	0
ENST00000400337	848.164	287.79
ENST00000355480	0	0
ENST00000342220	489.07	24.5304
