sample_output_rna	sample_output_ribo
ENST00000398600	618.078	510.916631
ENST00000413778	0	0
ENST00000398598	618.078	510.916631
ENST00000424365	730.249	873.419861
ENST00000417963	8.59809e-07	0.000001
ENST00000441677	176.024	306.464559
ENST00000288383	1.07656	0.807778
ENST00000455164	618.078	510.916631
ENST00000332149	0	0
ENST00000458356	0	0
ENST00000454499	0	0
ENST00000424093	0	0
ENST00000455813	0	0
ENST00000398585	0	0
ENST00000332512	0	0
ENST00000352483	0	0
ENST00000544709	6.3138	0.000000
ENST00000542057	6.3138	0.000000
ENST00000447016	86.4822	103.643897
ENST00000422911	0	0
ENST00000441787	0	0
ENST00000449395	0	0
ENST00000398548	83.8527	97.149376
ENST00000433067	0	0
ENST00000269844	0	0
ENST00000538201	0	0
ENST00000447207	86.4822	103.643897
ENST00000449165	449.179	783.983346
ENST00000329623	58.2097	493.902711
ENST00000380486	80.0658	627.781061
ENST00000398505	180.409	220.125948
ENST00000310826	36.0163	75.920081
ENST00000398499	36.0163	75.920081
ENST00000398511	36.0163	75.920081
ENST00000425521	233.816	0.000000
ENST00000400427	0	0
ENST00000400424	7.4302	0.000000
ENST00000408989	0	0
ENST00000408910	0	0
ENST00000491559	0	0
ENST00000468982	0	0
ENST00000497243	0	0
ENST00000400421	0	0
ENST00000466434	0	0
ENST00000485357	0	0
ENST00000329015	70.0979	550.368231
ENST00000398457	0.0231452	0.048144
ENST00000347800	1067.5	2239.062858
ENST00000450121	0	0
ENST00000398449	1.6802	3.582852
ENST00000361802	484.13	958.275129
ENST00000343687	0	0
ENST00000398437	0	0
ENST00000340588	0	0
ENST00000518498	0	0
ENST00000398431	0	0
ENST00000291525	0	0
ENST00000291526	0	0
ENST00000291527	0	0
ENST00000398405	0	0
ENST00000433957	58.8437	144.486684
ENST00000291532	2.123	5.199447
ENST00000398397	38.6067	0.000000
ENST00000380399	60.8601	122.537186
ENST00000291535	3.71215	0.000000
ENST00000319294	0	0
ENST00000398367	0	0
ENST00000450356	0	0
ENST00000291536	190.507	0.000000
ENST00000398352	424.391	0.000000
ENST00000398341	92.9725	84.999077
ENST00000352133	92.9725	84.999077
ENST00000335512	530.881	70.843189
ENST00000291539	68.9456	8.153331
ENST00000380328	0	0
ENST00000398232	0	0
ENST00000398234	0	0
ENST00000398236	0	0
ENST00000328862	0	0
ENST00000335440	0	0
ENST00000398225	0	0
