sample_output_rna	sample_output_ribo
ENST00000329347	7.482130	0.000000
ENST00000349048	3614.340000	5754.854331
ENST00000403390	0.000000	0.000000
ENST00000339818	1279.870000	2239.686026
ENST00000397956	60.216100	64.818089
ENST00000325223	1692.540000	2977.497559
ENST00000300482:ENST00000397928	698.840000	779.497290
ENST00000431901	508.183000	36.135684
ENST00000397932	0.000000	0.000000
ENST00000300481	1.486000	1.493295
ENST00000291592	5.409220	0.000000
ENST00000596691	5.803860	0.000000
ENST00000323084	0.000000	0.000000
ENST00000397916	8.911750	0.000000
ENST00000400375	0.000000	0.000000
ENST00000391621	0.000000	0.000000
ENST00000391620	0.000000	0.000000
ENST00000400374	0.000000	0.000000
ENST00000400372	0.000000	0.000000
ENST00000400368	0.000000	0.000000
ENST00000380102	0.000000	0.000000
ENST00000334662	0.000000	0.000000
ENST00000397911	0.000000	0.000000
ENST00000380095	0.000000	0.000000
ENST00000334670	0.000000	0.000000
ENST00000391618	0.000000	0.000000
ENST00000397907	0.000000	0.000000
ENST00000360770	0.000000	0.000000
ENST00000391617	0.000000	0.000000
ENST00000400365	0.000000	0.000000
ENST00000345496	0.000000	0.000000
ENST00000330942	1470.740000	6689.530388
ENST00000478200	1671.710000	15659.071532
ENST00000397898	317.065000	303.738723
ENST00000332859	17213.500000	32948.258054
ENST00000397893	665.274000	1613.784307
ENST00000411651	0.000000	0.000000
ENST00000397887	1820.300000	4320.875984
ENST00000330938	4454.150000	10262.022043
ENST00000397886	446.645000	1034.642912
ENST00000445724	1794.700000	1108.421680
ENST00000397852:ENST00000397857:ENST00000355153:ENST00000397850:ENST00000302347	4157.467000	2746.560647
ENST00000397854	0.000000	0.000000
ENST00000523323	0.000000	0.000000
ENST00000320216	0.000000	0.000000
ENST00000523663	0.000000	0.000000
ENST00000522931	0.000000	0.000000
ENST00000517563	5524.700000	4532.715197
ENST00000520389	0.000000	0.000000
ENST00000517819	634.905000	613.140156
ENST00000397846	0.000000	0.000000
ENST00000397841	85.532800	0.000000
ENST00000330551	44.523700	0.000000
ENST00000380070	90.615100	0.000000
ENST00000291634	158.039000	327.766388
ENST00000397826	1406.580000	3210.497000
ENST00000458015	0.000000	0.000000
ENST00000389861	147.740000	168.405348
ENST00000492414:ENST00000348831	287.714000	342.415524
ENST00000496664:ENST00000360697:ENST00000539173	0.000000	0.000000
ENST00000389863	1564.460000	1442.389653
ENST00000449478	0.000896	0.001165
ENST00000600921	0.000000	0.000000
ENST00000596207	0.000000	0.000000
ENST00000331343	0.000000	0.000000
ENST00000334538	262.353000	346.048523
ENST00000349485	168.846000	192.663884
ENST00000451615	0.000000	0.000000
ENST00000400337	688.945000	748.012722
ENST00000355480	0.000000	0.000000
ENST00000342220	814.227000	130.679264
ENST00000423214	905.674000	134.092216
ENST00000359759	2.492010	23.603029
ENST00000417954	0.000000	0.000000
ENST00000567670	8.609470	11.567825
ENST00000311124	186.637000	228.804736
ENST00000380010	80.642300	122.690598
ENST00000427839	19.456600	66.033283
ENST00000443742	0.000000	0.000000
ENST00000485649	0.124597	0.119303
ENST00000400314:ENST00000449640	212.894000	261.412300
ENST00000400310	0.000000	0.000000
ENST00000400309	0.000000	0.000000
ENST00000400308	131.934000	88.184762
ENST00000400305	1324.210000	964.564713
ENST00000400304	33.365400	42.357324
ENST00000601068	0.000000	0.000000
ENST00000593412	0.000000	0.000000
ENST00000361866	1008.180000	3535.564624
ENST00000300527	297.801000	659.078341
ENST00000436769	0.000000	0.000000
ENST00000409416:ENST00000310645	906.781000	1200.941116
ENST00000397763:ENST00000357838	68.945600	81.668414
ENST00000413758	211.225000	208.163212
ENST00000291670:ENST00000397746	135.462000	6.964008
ENST00000397748	0.000000	0.000000
ENST00000446405	88.052900	0.000000
ENST00000397743	0.000000	0.000000
ENST00000359679	0.000000	0.000000
ENST00000355384	0.000000	0.000000
ENST00000330205	154.469000	1853.537853
ENST00000291672	120.879000	1058.228599
ENST00000356396:ENST00000397728	568.028000	408.890836
ENST00000419093	139.949000	0.000000
ENST00000522411	50.763100	34.487294
ENST00000450351	267.314000	267.562317
ENST00000457828	1663.580000	1360.944059
ENST00000594486	364.966000	0.000000
ENST00000397708:ENST00000291688	803.285000	668.791582
ENST00000426537	275.142000	684.766333
ENST00000397701:ENST00000329319:ENST00000397691	905.232000	265.632936
ENST00000397694	498.531000	102.488770
ENST00000339195	573.073000	173.470797
ENST00000397692	0.000000	0.000000
ENST00000491666	304.542000	0.000000
ENST00000397683:ENST00000397682:ENST00000397679:ENST00000397680	0.000000	0.000000
ENST00000417060	0.000000	0.000000
ENST00000291691	0.000000	0.000000
ENST00000397685	0.000000	0.000000
ENST00000359568	240.241000	925.172600
ENST00000418394	1424.080000	1361.749319
ENST00000400274	9.628790	8.494201
ENST00000457905	103.084000	93.820447
ENST00000466639	0.000000	0.000000
ENST00000435722	153.119000	144.954276
ENST00000417564	415.357000	379.314812
ENST00000318711	0.542150	0.494777
ENST00000427143	117.743000	95.384727
ENST00000291700:ENST00000397648	93015.000000	48640.464814
ENST00000367071	917.128000	2532.372233
